22:34:19.970 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:19.971 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:34:22.055 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:22.055 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:23.063 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:23.063 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:25.132 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:25.132 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:26.141 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:26.141 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:28.111 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:28.111 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:29.118 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:29.118 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:29.118 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:34:31.016 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:31.016 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:32.182 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:32.182 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:34.127 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:34.127 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:35.171 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:35.171 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:35.171 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:34:37.206 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:37.206 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:38.189 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:38.189 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:40.179 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:40.179 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:41.244 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:41.244 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:43.171 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:43.171 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:44.182 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:44.182 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:44.182 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:34:46.207 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:46.207 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:47.204 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:47.205 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:49.178 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:49.178 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:50.260 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:50.260 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:50.260 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:34:52.237 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
